#0 C:\www\Assignment5\edit.php(15): editUser(Object(mysqli), '1')
#1 {main}
  thrown in C:\www\Assignment5\includes\functions-inc.php on line 189
[08-Dec-2020 19:41:58 UTC] PHP Notice:  Undefined variable: row in C:\www\Assignment5\includes\functions-inc.php on line 187
[08-Dec-2020 19:41:58 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 187
[08-Dec-2020 19:41:58 UTC] PHP Fatal error:  Uncaught Error: Call to a member function fetch_assoc() on bool in C:\www\Assignment5\includes\functions-inc.php:189
Stack trace:
#0 C:\www\Assignment5\edit.php(15): editUser(Object(mysqli), '1')
#1 {main}
  thrown in C:\www\Assignment5\includes\functions-inc.php on line 189
[08-Dec-2020 19:43:11 UTC] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE) in C:\www\Assignment5\includes\functions-inc.php on line 223
[08-Dec-2020 19:45:35 UTC] PHP Notice:  Undefined variable: row in C:\www\Assignment5\includes\functions-inc.php on line 187
[08-Dec-2020 19:45:35 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 187
[08-Dec-2020 19:46:54 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 210
[08-Dec-2020 19:46:54 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 211
[08-Dec-2020 19:46:54 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 212
[08-Dec-2020 19:46:54 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 213
[08-Dec-2020 19:46:54 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 214
[08-Dec-2020 19:46:54 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 215
[08-Dec-2020 19:46:54 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 216
[08-Dec-2020 19:46:54 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 217
[08-Dec-2020 19:48:15 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 210
[08-Dec-2020 19:48:15 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 211
[08-Dec-2020 19:48:15 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 212
[08-Dec-2020 19:48:15 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 213
[08-Dec-2020 19:48:15 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 214
[08-Dec-2020 19:48:15 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 215
